OCID,CONTRACT_TITLE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
1,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,REPORTEROS EN SA DE CV,2019-11-28,2019-12-31,214595,MXN
2,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,DIFUSION DE INFORMACION SA DE CV,2019-11-28,2019-12-31,198000,MXN
3,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,P&E PERSPECTIVAS & ENFOQUES PUBLICITARIOS SA DE CV,2019-11-28,2019-12-31,257984.98,MXN
4,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,PROYECTOS ALTERNATIVOS DE COMUNICACION,2019-11-28,2019-12-31,171160,MXN
5,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,DEMOS DESARROLLO DE MEDIOS SA DE CV,2019-11-28,2019-12-31,3448225,MXN
6,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,EL ECONOMISTA GRUPO EDITORIAL SA DE CV,2019-11-28,2019-12-31,344634,MXN
7,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,INFORMACION INTEGRAL 24/7 S A P I DE CV,2019-11-28,2019-12-31,128878.2,MXN
8,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,CENTRO DE CULTURA NUESTRA AMERICA AC,2019-11-28,2019-12-31,819720,MXN
9,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,EDICION Y PUBLICIDAD DE MEDIOS DE LOS ESTADOS S DE RL DE CV,2019-11-28,2019-12-31,775800,MXN
10,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,MM ON LINE SA DE CV,2019-11-28,2019-12-31,5011880,MXN
11,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,CUARTOSCURO SA DE CV,2019-11-28,2019-12-31,64200,MXN
12,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,STEREOREY MEXICO SA,2019-11-28,2019-12-31,861229.71,MXN
13,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,"SOCIEDAD MEXICANA DE RADIO, S.A DE C.V.",2019-11-28,2019-12-31,430980.06,MXN
14,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,RADIODIFUSORAS ASOCIADAS SA DE CV,2019-11-28,2019-12-31,809920,MXN
15,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,DEMOS DESARROLLO DE MEDIOS SA DE CV,2019-11-28,2019-12-31,12930218,MXN
16,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,INFORMULA SA DE CV,2019-11-28,2019-12-31,1724120,MXN
17,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,NOW NEW MEDIA S A P I DE CV,2019-11-28,2019-12-31,431025,MXN
18,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,OPERADORA Y ADMINISTRADORA DE INFORMACION Y EDITORIAL SA DE CV,2019-11-28,2019-12-31,430972.44,MXN
19,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,UNORDINARY BUSINESS CONSULTANTS SA DE CV,2019-11-28,2019-12-31,256660,MXN
20,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,PROABRI S A P I DE CV,2019-11-28,2019-12-31,430920,MXN
21,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,ORGANIZACION EDITORIAL DEL GOLFO SA DE CV,2019-11-28,2019-12-31,1293028.65,MXN
