NOMBRE	TIPO_ENTIDAD	RELACIONADO CON	TIPO_RELACION	PUESTO
CONSORCIO LAMAT TRAMO 1, S.A.P.I DE C.V.	empresa	Mota-Engil S.A.P.I de C.V. 	parent	
Mota-Engil S.A.P.I de C.V. 	empresa	Mota-Engil, SGPS, S.A. 	parent	
Mota-Engil, SGPS, S.A. 	empresa	Mota-Engil S.A.P.I de C.V. 	parent	
Sociedade de Controlo SGPS, SA	empresa	Mota-Engil, SGPS, S.A. 	shareholder	
Mutima Capital Management LLC	empresa	Mota-Engil, SGPS, S.A. 	shareholder	
Antonio Mota 	persona	Mota-Engil, SGPS, S.A. 	boardmember	Presidente 
Gonzalo Nuno Gomes	persona 	Mota-Engil, SGPS, S.A. 	boardmember	Vicepresidente
CONSORCIO LAMAT TRAMO 1, S.A.P.I DE C.V.	empresa	China Communications Construction Company Ltd.	parent	
China Communications Construction Company Ltd.	empresa	China Communications Construction Company Ltd.	parent	
China Communications Construction Company Ltd.	empresa	China Communications Construction Company Ltd.	parent	
China Securities Finance Corp.	empresa	China Communications Construction Company Ltd.	shareholder	
BlackRock Inc.	empresa	China Communications Construction Company Ltd.	shareholder	
Wang Tongzhou	persona	China Communications Construction Company Ltd.	boardmember	Presidente 
Zhong Chen	persona	China Communications Construction Company Ltd.	boardmember	Vicepresidente
Gavil Ingeniería S.A de C.V. 	empresa			
Gavil Ingeniería S.A de C.V. 	empresa	Gavil Ingeniería S.A de C.V. 	parent	
	empresa	Gavil Ingeniería S.A de C.V. 	shareholder	
	empresa	Gavil Ingeniería S.A de C.V. 	shareholder	
	persona	Gavil Ingeniería S.A de C.V. 	boardmember	
	persona	Gavil Ingeniería S.A de C.V. 	boardmember	
CONSORCIO LAMAT TRAMO 1, S.A.P.I DE C.V.	empresa	Eyasa S de R,L. DE C.V. 	parent	
Eyasa S de R,L. DE C.V. 	empresa	Electromecánica y Automatizados S.A de C.V. 	parent	
Electromecánica y Automatizados S.A de C.V. 	empresa	Eyasa S de R,L. DE C.V. 	parent	
	empresa	Electromecánica y Automatizados S.A de C.V. 	shareholder	
	empresa	Electromecánica y Automatizados S.A de C.V. 	shareholder	
Miguel Hernandez	persona	Electromecánica y Automatizados S.A de C.V. 	boardmember	Presidente
	persona	Electromecánica y Automatizados S.A de C.V. 	boardmember	Vicepresidente
CONSORCIO LAMAT TRAMO 1, S.A.P.I DE C.V.	empresa	Grupo COSH S.A. DE C.V. 	parent	
Grupo COSH S.A. DE C.V. 	empresa	Grupo COSH S.A. DE C.V. 	parent	
Grupo COSH S.A. DE C.V. 	empresa	Grupo COSH S.A. DE C.V. 	parent	
Miguel Ángel Sierra Von Roehrich 	persona	Grupo COSH S.A. DE C.V. 	shareholder	
Jorge Alfredo Sierra Von Roehrich 	persona	Grupo COSH S.A. DE C.V. 	shareholder	
Jorge Alfredo Sierra Von Roehrich 	persona	Grupo COSH S.A. DE C.V. 	boardmember	Presidente
	persona	Grupo COSH S.A. DE C.V. 	boardmember	Vicepresidente
CONSORCIO LAMAT TRAMO 1, S.A.P.I DE C.V.	empresa			
Ayesa México S.A. DE C.V. 	empresa	CONSORCIO LAMAT TRAMO 1, S.A.P.I DE C.V.	parent	
Ayesa México S.A. DE C.V. 	empresa	ALIA GESTIÓN INTEGRAL DE SERVICIOS S.L. 	parent	
ALIA GESTIÓN INTEGRAL DE SERVICIOS S.L. 	empresa	Ayesa México S.A. DE C.V. 	parent	
	empresa	ALIA GESTIÓN INTEGRAL DE SERVICIOS S.L. 	shareholder	
	empresa	ALIA GESTIÓN INTEGRAL DE SERVICIOS S.L. 	shareholder	
José Luis Manzanares Japón	persona	ALIA GESTIÓN INTEGRAL DE SERVICIOS S.L. 	boardmember	Presidente
Arancha Manzanares Abásolo	persona	ALIA GESTIÓN INTEGRAL DE SERVICIOS S.L. 	boardmember	Vicepresidente
GEOSOL S.A. DE C.V. 				
GEOSOL S.A. DE C.V. 	empresa	GEOSOL S.A. DE C.V. 	parent	
	empresa	GEOSOL S.A. DE C.V. 	shareholder	
	empresa	GEOSOL S.A. DE C.V. 	shareholder	
Manuel Zárate Aquino	persona	GEOSOL S.A. DE C.V. 	boardmember	Presidente
	persona	GEOSOL S.A. DE C.V. 	boardmember	Vicepresidente
OPERADORA CICSA SA DE CV	empresa			
Grupo Carso S.A.B. De C.V. 	empresa	OPERADORA CICSA SA DE CV		
Grupo Financiero Inbursa S.A.B de C.V. 	empresa	Grupo Carso S.A.B. De C.V. 	shareholder	
BlackRock Inc.	empresa	Grupo Carso S.A.B. De C.V. 	shareholder	
Carlos Slim Helú 	persona	Grupo Carso S.A.B. De C.V. 	boardmember	Presidente 
Patrick Slim Domit 	persona	Grupo Carso S.A.B. De C.V. 	boardmember	Vicepresidente
OPERADORA CICSA SA DE CV	empresa			
FCC Construccion S.A. 	empresa	FCC, S.A. 	parent	
FCC, S.A. 	empresa	FCC Construccion S.A. 	parent	
Inversora Carso S.A de C.V. 	empresa	FCC, S.A. 	shareholder	
Nueva Samede S.L.U. 	empresa	FCC, S.A. 	shareholder	
Pablo Colio Abril	persona	FCC, S.A. 	boardmember	Presidente 
Juan José Drago Maslá	persona	FCC, S.A. 	boardmember	Vicepresidente
CAL Y MAYOR Y ASOCIADOS SC	empresa			
CAL Y MAYOR Y ASOCIADOS SC	empresa	CAL Y MAYOR Y ASOCIADOS SC	parent	
	persona	CAL Y MAYOR Y ASOCIADOS SC	shareholder	
	persona	CAL Y MAYOR Y ASOCIADOS SC	shareholder	
Patricio Cal y Mayor Leach	persona	CAL Y MAYOR Y ASOCIADOS SC	boardmember	Presidente
Esperanza Velásquez Botero	persona	CAL Y MAYOR Y ASOCIADOS SC	boardmember	Vicepresidente
Multidin, S.A. DE C.V. 	empresa			
Multidin, S.A. DE C.V. 	empresa	Multidin, S.A. DE C.V. 	parent	
	empresa	Multidin, S.A. DE C.V. 	shareholder	
	empresa	Multidin, S.A. DE C.V. 	shareholder	
	persona	Multidin, S.A. DE C.V. 	boardmember	Presidente
	persona	Multidin, S.A. DE C.V. 	boardmember	Vicepresidente
ARI Arquitectura e Ingeniería S.A. DE C.V. 	empresa			
ARI Arquitectura e Ingeniería S.A. DE C.V. 	empresa	ARI Arquitectura e Ingeniería S.A. DE C.V. 	parent	
	persona	ARI Arquitectura e Ingeniería S.A. DE C.V. 	shareholder	
	persona	ARI Arquitectura e Ingeniería S.A. DE C.V. 	shareholder	
Javier León	persona	ARI Arquitectura e Ingeniería S.A. DE C.V. 	boardmember	Presidente
	persona	ARI Arquitectura e Ingeniería S.A. DE C.V. 	boardmember	Vicepresidente
Infraestructura Peninsular, S.A DE C.V. 	empresa			
	empresa	Infraestructura Peninsular, S.A DE C.V. 	parent	
